10,10
13,100
117,104
7,106
88,109
277,110
46,112
4,116
64,125
125,133
60,135
26,136
13,14
8,140
101,147
1,15
69,154
48,157
22,161
332,162
104,163
4,166
126,167
145,17
47,171
10,177
6,178
62,183
205,185
463,187
0,188
106,19
23,190
39,191
115,192
85,197
221,2
235,20
14,201
32,207
149,208
8,209
142,21
53,210
52,214
73,216
220,221
82,23
37,231
5,232
11,235
110,236
122,237
19,239
9,246
25,252
22,253
60,254
113,255
28,257
72,258
26,259
31,26
118,260
12,261
37,262
23,263
32,264
1,265
23,266
1,267
134,27
0,270
0,276
16,277
30,280
24,29
6,293
6,296
15,299
34,3
60,303
100,305
232,306
8,307
76,308
2,309
101,31
69,310
11,311
4,315
52,32
77,320
8,321
37,322
7,325
31,329
27,331
1,333
107,334
125,336
77,338
32,339
11,340
14,341
1,342
0,343
2,344
107,345
5,347
0,348
127,35
61,350
148,351
49,354
6,356
3,357
4,360
13,362
2,364
2,366
1,369
5,371
112,372
57,374
14,377
4,382
36,385
2,386
1,388
5,392
47,393
122,394
0,395
31,396
15,397
34,398
2,399
49,4
381,40
66,400
6,405
80,407
1,408
59,41
51,413
30,417
204,42
88,420
49,421
86,427
5,430
129,431
1,455
224,46
14,465
6,470
73,476
13,477
9,479
56,48
45,481
10,488
2,489
6,495
16,496
91,50
73,52
44,53
86,54
36,55
227,57
5,58
148,6
0,61
21,62
16,63
108,64
5,66
19,67
41,71
2,73
24,74
2,77
42,79
148,8
1,80
1,81
2,84
264,85
157,87
296,88
41,89
146,9
54,93
20,94
162,96
